City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Amazar,RU,2021-11-02 03:56:04,53.858,120.875,28.29,88,100,2.89,light snow
119,Lodwar,KE,2021-11-02 03:56:05,3.1191,35.5973,81.91,45,83,2.59,broken clouds
120,Upernavik,GL,2021-11-02 03:56:05,72.7868,-56.1549,23.34,94,100,10.58,light snow
121,Abu Samrah,SY,2021-11-02 03:56:06,35.3029,37.1841,63.28,64,100,4.41,overcast clouds
122,Jardim,BR,2021-11-02 03:56:06,-21.4803,-56.1381,72.27,72,5,3.65,clear sky
123,Saint-Joseph,RE,2021-11-02 03:56:07,-21.3667,55.6167,78.48,72,19,5.44,few clouds
124,Kalat,PK,2021-11-02 03:56:08,29.0225,66.5916,53.19,22,0,3.02,clear sky
125,Yacuiba,BO,2021-11-02 03:56:08,-22.038,-63.6797,75.7,64,100,3.96,light rain
126,Hermanus,ZA,2021-11-02 03:56:09,-34.4187,19.2345,53.91,69,83,8.77,broken clouds
127,Padang,ID,2021-11-02 03:56:09,-0.9492,100.3543,84.25,71,80,4.25,broken clouds
128,Anito,PH,2021-11-02 03:56:10,12.4497,125.2886,81.03,89,73,9.8,heavy intensity rain
129,Nome,US,2021-11-02 03:56:10,64.5011,-165.4064,28.47,93,90,28.77,snow
130,Basoko,CD,2021-11-02 03:56:11,1.2391,23.616,67.53,97,96,1.77,overcast clouds
131,Thompson,CA,2021-11-02 03:56:11,55.7435,-97.8558,28.56,86,75,4.61,light shower snow
132,San Quintin,MX,2021-11-02 03:56:12,30.4833,-115.95,63.46,88,56,10.96,broken clouds
133,Lompoc,US,2021-11-02 03:56:13,34.6391,-120.4579,60.57,87,90,8.01,overcast clouds
134,Tuscaloosa,US,2021-11-02 03:54:00,33.2098,-87.5692,53.33,94,0,4.7,clear sky
135,Berlevag,NO,2021-11-02 03:56:14,70.8578,29.0864,39.0,91,100,35.46,overcast clouds
136,Korla,CN,2021-11-02 03:56:17,41.7597,86.1469,49.78,26,80,2.77,broken clouds
137,Mahibadhoo,MV,2021-11-02 03:56:23,3.7833,72.9667,82.11,78,97,14.63,overcast clouds
138,Alexandria,EG,2021-11-02 03:56:24,31.2156,29.9553,71.56,78,40,4.61,scattered clouds
139,Tucuma,BR,2021-11-02 03:56:24,-0.1833,-50.05,77.34,89,80,5.82,broken clouds
140,Avarua,CK,2021-11-02 03:56:24,-21.2078,-159.775,78.85,73,20,12.66,few clouds
141,Suntar,RU,2021-11-02 03:56:25,62.1444,117.6319,24.44,69,69,12.64,broken clouds
142,Bosaso,SO,2021-11-02 03:56:27,11.2842,49.1816,80.11,54,14,5.79,few clouds
143,Miri,MY,2021-11-02 03:56:27,4.4148,114.0089,86.14,79,40,5.75,scattered clouds
144,Westlock,CA,2021-11-02 03:56:28,54.1502,-113.8688,32.34,74,0,10.36,clear sky
145,Tuatapere,NZ,2021-11-02 03:56:28,-46.1333,167.6833,53.82,55,85,10.96,overcast clouds
146,San Jose De Guanipa,VE,2021-11-02 03:56:29,8.8872,-64.1651,74.82,80,35,8.39,scattered clouds
147,Wick,GB,2021-11-02 03:56:29,58.4333,-3.0833,46.65,93,75,8.05,broken clouds
148,Caraz,PE,2021-11-02 03:56:30,-9.0486,-77.81,62.8,81,96,3.44,overcast clouds
149,Mahebourg,MU,2021-11-02 03:56:30,-20.4081,57.7,78.26,83,40,8.05,scattered clouds
150,Bay Roberts,CA,2021-11-02 03:56:31,47.5999,-53.2648,53.51,96,100,1.01,overcast clouds
151,Katsuura,JP,2021-11-02 03:56:31,35.1333,140.3,69.84,69,63,7.11,broken clouds
152,Rantepao,ID,2021-11-02 03:56:32,-2.9701,119.8978,78.35,73,99,0.54,overcast clouds
153,Labuhan,ID,2021-11-02 03:56:32,-6.8844,112.2051,90.09,56,76,0.69,broken clouds
154,Byron Bay,AU,2021-11-02 03:56:33,-28.65,153.6167,73.06,57,94,9.57,overcast clouds
155,Antofagasta,CL,2021-11-02 03:54:19,-23.65,-70.4,60.08,78,27,5.73,scattered clouds
156,Seddon,AU,2021-11-02 03:56:33,-37.8068,144.8916,88.21,34,0,16.11,clear sky
157,Ginir,ET,2021-11-02 03:56:34,7.1333,40.7,59.11,81,100,3.69,light rain
158,Hazorasp,UZ,2021-11-02 03:56:34,41.3194,61.0742,35.44,44,57,7.92,broken clouds
159,Georgetown,MY,2021-11-02 03:54:03,5.4112,100.3354,85.93,81,20,1.99,few clouds
160,Semirom,IR,2021-11-02 03:56:35,31.4167,51.5667,50.07,40,4,1.5,clear sky
161,Faya,SA,2021-11-02 03:56:35,18.3851,42.4509,53.71,41,57,3.65,broken clouds
162,Atambua,ID,2021-11-02 03:56:36,-9.1061,124.8925,87.96,53,43,2.66,scattered clouds
163,Port-Gentil,GA,2021-11-02 03:56:37,-0.7193,8.7815,76.53,85,93,3.58,overcast clouds
164,Castro,BR,2021-11-02 03:56:37,-24.7911,-50.0119,58.26,93,78,5.66,broken clouds
165,Kaohsiung,TW,2021-11-02 03:53:35,22.6163,120.3133,84.29,68,40,1.99,scattered clouds
166,Antalaha,MG,2021-11-02 03:56:38,-14.9003,50.2788,75.27,90,55,1.39,light rain
167,New Norfolk,AU,2021-11-02 03:56:39,-42.7826,147.0587,77.67,36,66,3.0,broken clouds
168,Teo,ES,2021-11-02 03:56:39,42.75,-8.5,57.45,94,75,4.61,broken clouds
169,Metu,ET,2021-11-02 03:56:40,8.3,35.5833,60.55,73,97,3.11,overcast clouds
170,Maxixe,MZ,2021-11-02 03:56:40,-23.8597,35.3472,76.84,83,75,14.0,broken clouds
171,Viloco,BO,2021-11-02 03:56:41,-16.95,-67.55,46.08,84,85,3.38,overcast clouds
172,Beringovskiy,RU,2021-11-02 03:56:41,63.05,179.3167,-3.1,91,17,14.81,few clouds
173,Cherskiy,RU,2021-11-02 03:56:42,68.75,161.3,-6.72,94,100,9.82,overcast clouds
174,Heishan,CN,2021-11-02 03:56:42,41.6892,122.1128,48.29,38,71,9.37,broken clouds
175,Ubinskoye,RU,2021-11-02 03:56:43,55.3068,79.6802,8.73,87,84,13.94,broken clouds
176,Sibolga,ID,2021-11-02 03:56:43,1.7427,98.7792,84.43,70,99,4.07,overcast clouds
177,Husavik,IS,2021-11-02 03:56:44,66.0449,-17.3389,31.91,94,100,19.82,snow
178,Gawler,AU,2021-11-02 03:56:44,-34.6,138.7333,91.83,26,100,12.66,overcast clouds
179,Yar-Sale,RU,2021-11-02 03:56:44,66.8333,70.8333,5.36,96,86,10.36,overcast clouds
180,Fare,PF,2021-11-02 03:56:45,-16.7,-151.0167,79.88,78,45,12.53,scattered clouds
181,Muravlenko,RU,2021-11-02 03:56:45,63.7898,74.523,4.69,95,93,6.53,overcast clouds
182,Panaba,MX,2021-11-02 03:56:46,21.2833,-88.2667,70.9,72,12,7.05,few clouds
183,Bredasdorp,ZA,2021-11-02 03:56:46,-34.5322,20.0403,52.92,82,68,9.22,broken clouds
184,Pisco,PE,2021-11-02 03:54:43,-13.7,-76.2167,64.45,88,90,9.22,overcast clouds
185,Nanortalik,GL,2021-11-02 03:56:48,60.1432,-45.2371,38.77,76,100,12.44,overcast clouds
186,Loding,NO,2021-11-02 03:56:48,67.3,14.75,49.91,66,0,11.5,clear sky
187,Changji,CN,2021-11-02 03:56:49,44.0167,87.3167,50.79,40,0,15.66,clear sky
188,Acajutla,SV,2021-11-02 03:56:49,13.5928,-89.8275,78.35,76,9,5.99,clear sky
189,Honningsvag,NO,2021-11-02 03:56:50,70.9821,25.9704,43.57,84,100,38.52,overcast clouds
190,Mackay,AU,2021-11-02 03:56:50,-21.15,149.2,84.18,51,59,17.27,broken clouds
191,Kathu,TH,2021-11-02 03:56:50,7.9178,98.3332,85.69,98,90,7.2,overcast clouds
192,Port Elizabeth,ZA,2021-11-02 03:56:51,-33.918,25.5701,60.1,67,0,18.41,light rain
193,Turukhansk,RU,2021-11-02 03:56:51,65.8167,87.9833,-10.98,96,93,5.84,overcast clouds
194,Longyearbyen,SJ,2021-11-02 03:56:52,78.2186,15.6401,17.44,62,20,16.11,few clouds
195,Valparaiso,CL,2021-11-02 03:52:23,-33.0393,-71.6273,58.48,79,90,3.44,overcast clouds
196,Moron,AR,2021-11-02 03:56:52,-34.6534,-58.6198,62.01,98,100,5.01,overcast clouds
197,Yellowknife,CA,2021-11-02 03:56:53,62.456,-114.3525,31.41,100,75,5.75,broken clouds
198,Kenora,CA,2021-11-02 03:56:53,49.8167,-94.4337,30.18,74,75,6.91,broken clouds
199,Kloulklubed,PW,2021-11-02 03:56:54,7.0419,134.2556,84.87,73,81,10.6,broken clouds
200,Zyryanka,RU,2021-11-02 03:56:54,65.75,150.85,-0.74,79,100,8.05,overcast clouds
201,Mayo,US,2021-11-02 03:56:55,38.8876,-76.5119,49.95,78,76,6.06,broken clouds
202,Norman Wells,CA,2021-11-02 03:56:55,65.282,-126.8329,17.64,86,20,2.3,few clouds
203,Blythe,US,2021-11-02 03:54:14,33.6103,-114.5964,73.04,27,97,6.38,overcast clouds
204,Kodiak,US,2021-11-02 03:56:56,57.79,-152.4072,35.46,73,89,12.44,overcast clouds
205,Victoria,HK,2021-11-02 03:56:56,22.2855,114.1577,82.96,75,36,1.01,scattered clouds
206,Mar Del Plata,AR,2021-11-02 03:53:06,-38.0023,-57.5575,58.08,93,90,3.0,heavy intensity rain
207,East London,ZA,2021-11-02 03:55:25,-33.0153,27.9116,59.94,58,0,11.5,clear sky
208,George,ZA,2021-11-02 03:56:58,-33.963,22.4617,51.35,76,0,5.75,clear sky
209,Jalu,LY,2021-11-02 03:56:59,29.0331,21.5482,70.84,32,0,9.1,clear sky
210,Necochea,AR,2021-11-02 03:56:59,-38.5473,-58.7368,51.04,92,100,6.89,overcast clouds
211,Havre-Saint-Pierre,CA,2021-11-02 03:57:00,50.2334,-63.5986,46.4,76,19,20.71,few clouds
212,Marsala,IT,2021-11-02 03:57:00,37.7966,12.4352,66.99,81,27,18.66,scattered clouds
213,Kanye,BW,2021-11-02 03:57:00,-24.9667,25.3327,59.0,37,0,6.85,clear sky
214,Hualmay,PE,2021-11-02 03:57:02,-11.0964,-77.6139,63.03,85,34,9.8,scattered clouds
215,Saint-Philippe,RE,2021-11-02 03:57:02,-21.3585,55.7679,79.48,78,42,10.76,scattered clouds
