City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Carlsbad,US,90.14,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
515,Luanda,AO,74.68,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
517,Sumbe,AO,73.56,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
519,Campo Gobierno,MX,84.45,clear sky,24.6536,-107.5411,Casa de la Abuela
523,Salinas,US,81.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
524,Buala,SB,86.43,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
527,Djibo,BF,85.42,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
529,Garut,ID,72.05,overcast clouds,-7.2024,107.8878,favehotel
531,Kumluca,TR,70.95,scattered clouds,36.3703,30.2869,Akkol Apart
532,Coffs Harbour,AU,70.12,overcast clouds,-30.3,153.1333,Aquajet Motel
535,Rawah,IQ,74.55,clear sky,34.4816,41.9093,عمر
538,Tamale,GH,76.19,broken clouds,9.4008,-0.8393,Tap Hotel
541,Mitsamiouli,KM,75.22,clear sky,-11.3847,43.2844,Foyer ADM
542,Salvador,SV,73.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
543,Coari,BR,76.62,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
545,Maiduguri,NG,78.1,clear sky,11.8464,13.1603,Kagel Mari Police Station
548,Aku,NG,72.16,light rain,6.7081,7.3167,Diewa Hotel And Resort
549,Sanchor,IN,74.12,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
558,Dedougou,BF,79.77,clear sky,12.4667,-3.4667,Hôtel Bon Séjour
560,Benguela,AO,72.54,few clouds,-12.5763,13.4055,Hotel Praia Morena
561,Harper,LR,76.48,light rain,4.375,-7.7169,Screensaver
563,Ilhabela,BR,70.09,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
565,Djenne,ML,85.23,clear sky,13.9061,-4.5533,Hôtel Chez Baba
567,Angoche,MZ,74.68,clear sky,-16.2325,39.9086,Guest House HESADA
574,Kavaratti,IN,81.81,overcast clouds,10.5669,72.642,Green leaf
575,Karratha,AU,81.46,clear sky,-20.7377,116.8463,ibis Styles Karratha
577,Buchanan,LR,76.12,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
588,Porto Santo,PT,71.98,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
590,Pochutla,MX,72.82,light rain,15.7432,-96.4661,Hotel Posada San Jose
599,Manzanillo,CU,76.89,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
